strategy,precision,recall,f1
Baseline,0.7142857142857143,0.7058823529411765,0.7100591715976331
Class weight balanced,0.6808510638297872,0.7529411764705882,0.7150837988826816
SMOTE on training fold,0.6914893617021277,0.7647058823529411,0.7262569832402235
