model,accuracy,precision,recall,f1,auc
Logistic Regression,0.7802690582959642,0.7142857142857143,0.7058823529411765,0.7100591715976331,0.8364876385336744
Decision Tree,0.7847533632286996,0.8245614035087719,0.5529411764705883,0.6619718309859155,0.8056265984654732
Random Forest,0.7713004484304933,0.6847826086956522,0.7411764705882353,0.711864406779661,0.8270673486786018
